"LOCATION","Country","SUBJECT","Subject","SEX","Sex","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"GBR","United Kingdom","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2005","2005","PER","Persons","0","Units",,,59591040,,
"GBR","United Kingdom","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2006","2006","PER","Persons","0","Units",,,60002570,,
"GBR","United Kingdom","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2007","2007","PER","Persons","0","Units",,,60481820,,
"GBR","United Kingdom","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2008","2008","PER","Persons","0","Units",,,60982380,,
"GBR","United Kingdom","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2009","2009","PER","Persons","0","Units",,,61423720,,
"GBR","United Kingdom","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2010","2010","PER","Persons","0","Units",,,61914640,,
"GBR","United Kingdom","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2011","2011","PER","Persons","0","Units",,,62435200,,
"GBR","United Kingdom","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2012","2012","PER","Persons","0","Units",,,62858800,,
"GBR","United Kingdom","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2013","2013","PER","Persons","0","Units",,,63237940,,
"GBR","United Kingdom","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2014","2014","PER","Persons","0","Units",,,63650010,"B","Break"
"ISL","Iceland","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2000","2000","PER","Persons","0","Units",,,281154,,
"ISL","Iceland","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2001","2001","PER","Persons","0","Units",,,285054,,
"ISL","Iceland","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2002","2002","PER","Persons","0","Units",,,287559,,
"ISL","Iceland","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2003","2003","PER","Persons","0","Units",,,289272,,
"ISL","Iceland","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2004","2004","PER","Persons","0","Units",,,292587,,
"ISL","Iceland","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2005","2005","PER","Persons","0","Units",,,295864,,
"ISL","Iceland","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2006","2006","PER","Persons","0","Units",,,304334,,
"ISL","Iceland","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2007","2007","PER","Persons","0","Units",,,311396,,
"ISL","Iceland","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2008","2008","PER","Persons","0","Units",,,319355,,
"ISL","Iceland","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2009","2009","PER","Persons","0","Units",,,319246,,
"ISL","Iceland","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2010","2010","PER","Persons","0","Units",,,318006,,
"ISL","Iceland","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2011","2011","PER","Persons","0","Units",,,319013.5,"B","Break"
"BRA","Brazil","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2000","2000","PER","Persons","0","Units",,,171279900,,
"BRA","Brazil","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2001","2001","PER","Persons","0","Units",,,173808000,,
"BRA","Brazil","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2002","2002","PER","Persons","0","Units",,,176303900,,
